<, 31> 
<eldest, 1> 
<elsewhere, 1> 
<enable, 1> 
<enabled, 1> 
<end, 4> 
<endeavor, 2> 
<engrossed, 2> 
<enjoy, 2> 
<enjoyed, 1> 
<enough, 2> 
<enquire, 2> 
<entered, 2> 
<entire, 1> 
<entrance, 4> 
<entreaties, 4> 
<equal, 1> 
<equally, 2> 
<especially, 3> 
<esteem, 1> 
<estimating, 4> 
<even, 1> 
<ever, 2> 
<everything, 2> 
<evident, 1> 
<examine, 1> 
<excellence, 2> 
<excuse, 1> 
<exertion, 3> 
<exeter, 3> 
<existence, 1> 
<expense, 2> 
<expenses, 2> 
<explain, 1> 
<express, 4> 
<expression, 2> 
<exquisite, 6> 
<extensive, 1> 
<extent, 1> 
<extremity, 1> 
<eyes, 1> 
<far, 1> 
<fat, 2> 
<favour, 1> 
<favourable, 3> 
<favourite, 1> 
<feel, 1> 
<felt, 1> 
<few, 4> 
<figure, 1> 
<find, 3> 
<fine, 2> 
<finished, 2> 
<five, 1> 
<followed, 2> 
<folly, 1> 
<fond, 2> 
<for, 10> 
<forbade, 1> 
<forfeited, 2> 
<form, 3> 
<formal, 1> 
<formed, 1> 
<former, 1> 
<formerly, 1> 
<forming, 1> 
<forth, 1> 
<forty, 2> 
<found, 1> 
<four, 3> 
<frankness, 1> 
<frequently, 1> 
<friendly, 1> 
<front, 2> 
<fulfilled, 1> 
<full, 1> 
<fully, 2> 
<furnished, 3> 
<future, 1> 
<game, 2> 
<garden, 2> 
<garrets, 2> 
<gate, 1> 
<gave, 1> 
<gay, 3> 
<general, 1> 
<gentleman, 3> 
<get, 6> 
<girl, 2> 
<give, 1> 
<given, 1> 
<giving, 1> 
<good, 1> 
<goodness, 1> 
<graceful, 1> 
<gravity, 2> 
<great, 1> 
<greater, 2> 
<greatly, 3> 
<green, 2> 
<had, 7> 
<half, 1> 
<ham, 3> 
<hand, 1> 
<handsome, 1> 
<happen, 2> 
<happiness, 2> 
<hard, 1> 
<hardly, 1> 
<has, 2> 
<hastened, 4> 
<hastily, 1> 
<having, 1> 
<he, 35> 
<heard, 1> 
<hearing, 1> 
<hearts, 1> 
<held, 2> 
<hence, 1> 
<her, 16> 
<high, 2> 
<highest, 1> 
<him, 4> 
<his, 7> 
<hoped, 1> 
<hopes, 2> 
<hour, 1> 
<household, 3> 
<how, 6> 
<however, 2> 
<humoured, 2> 
<hundred, 1> 
<if, 11> 
<ignorant, 1> 
<imagine, 1> 
<immediate, 1> 
<impossible, 3> 
<impression, 1> 
<improve, 1> 
<improved, 1> 
<improving, 2> 
<imprudence, 1> 
<in, 30> 
<income, 1> 
<indeed, 1> 
<indulgence, 3> 
<informed, 2> 
<inhabiting, 2> 
<innate, 1> 
<inquietude, 3> 
<inquiry, 1> 
<insensible, 3> 
<insipidity, 1> 
<instrument, 3> 
<intention, 1> 
<introduced, 1> 
<invitation, 1> 
<is, 11> 
<it, 27> 
<its, 3> 
<jennings, 2> 
<john, 1> 
<jointure, 2> 
<journey, 1> 
<joy, 4> 
<judgment, 3> 
<just, 3> 
<justice, 1> 
<kept, 1> 
<kindness, 1> 
<know, 2> 
<ladies, 2> 
<lady, 3> 
<lain, 1> 
<landlord, 2> 
<large, 1> 
<last, 2> 
<lasted, 1> 
<late, 1> 
<latter, 4> 
<laughter, 1> 
<law, 3> 
<learn, 1> 
<learning, 2> 
<leave, 1> 
<led, 6> 
<length, 1> 
<less, 1> 
<like, 5> 
<likewise, 1> 
<limited, 1> 
<limits, 1> 
<linen, 2> 
<listening, 1> 
<literature, 1> 
<little, 1> 
<lived, 1> 
<lively, 2> 
<looked, 1> 
<loud, 1> 
<lovers, 1> 
<luckily, 2> 
<made, 1> 
<man, 4> 
<manners, 1> 
<margaret, 1> 
<marianne, 3> 
<marriage, 1> 
<marry, 1> 
<match, 2> 
<material, 1> 
<matters, 2> 
<may, 7> 
<me, 8> 
<mean, 1> 
<means, 1> 
<meant, 2> 
<melancholy, 2> 
<men, 2> 
<merit, 1> 
<merry, 1> 
<met, 6> 
<middleton, 1> 
<middletons, 3> 
<might, 1> 
<mile, 1> 
<mind, 1> 
<minutes, 1> 
<mirth, 2> 
<miss, 1> 
<mistake, 1> 
<mistress, 1> 
<moderate, 1> 
<moonlight, 1> 
<more, 1> 
<moreover, 2> 
<morning, 1> 
<motionless, 2> 
<mr, 14> 
<mrs, 6> 
<much, 1> 
<music, 2> 
<musical, 2> 
<mutual, 1> 
<my, 7> 
<name, 3> 
<narrow, 2> 
<nature, 1> 
<nay, 3> 
<neat, 2> 
<necessary, 1> 
<need, 1> 
<neglected, 3> 
<neither, 2> 
<new, 3> 
<newspaper, 1> 
<next, 1> 
<no, 21> 
<noisy, 1> 
<nor, 3> 
<norland, 1> 
<not, 1> 
<nothing, 1> 
<now, 5> 
<objection, 2> 
<occasional, 3> 
<of, 25> 
<off, 4> 
<offended, 1> 
<offending, 3> 
<offices, 2> 
<oh, 10> 
<old, 5> 
<on, 24> 
<one, 3> 
<only, 1> 
<open, 5> 
<opinion, 1> 
<oppose, 1> 
<or, 7> 
<others, 1> 
<otherwise, 1> 
<ought, 1> 
<our, 3> 
<ourselves, 1> 
<out, 5> 
<outlived, 2> 
<outweigh, 2> 
<over, 1> 
<overcame, 1> 
<own, 3> 
<packages, 1> 
<paid, 4> 
<pain, 2> 
<park, 2> 
<part, 1> 
<partiality, 2> 
<particular, 5> 
<parties, 2> 
<passage, 1> 
<passed, 1> 
<past, 1> 
<peculiar, 1> 
<perceive, 1> 
<perceived, 1> 
<perhaps, 1> 
<piqued, 1> 
<plan, 2> 
<played, 1> 
<pleased, 1> 
<pleasure, 4> 
<pointed, 1> 
<points, 1> 
<polite, 1> 
<position, 2> 
<possession, 3> 
<possible, 2> 
<praise, 1> 
<precaution, 3> 
<preference, 3> 
<preferred, 1> 
<prepare, 2> 
<present, 1> 
<pressed, 1> 
<pretended, 1> 
<prevailed, 1> 
<prevent, 2> 
<principle, 1> 
<principles, 3> 
<proceed, 1> 
<procured, 1> 
<procuring, 1> 
<produce, 1> 
<projecting, 1> 
<projection, 1> 
<promise, 1> 
<promotion, 1> 
<pronounce, 2> 
<property, 1> 
<propriety, 2> 
<prospect, 1> 
<prosperous, 1> 
<provided, 2> 
<provision, 2> 
<pure, 1> 
<purse, 1> 
<pursuit, 1> 
<put, 7> 
<questions, 3> 
<quiet, 1> 
<quit, 1> 
<quitting, 1> 
<raillery, 2> 
<raptures, 2> 
<rapturous, 2> 
<reached, 1> 
<real, 2> 
<reasonable, 1> 
<reasonably, 2> 
<recommend, 1> 
<recurred, 1> 
<regard, 1> 
<regular, 2> 
<related, 2> 
<relation, 1> 
<remainder, 2> 
<remarkably, 1> 
<remember, 2> 
<removing, 1> 
<rendered, 2> 
<rent, 1> 
<repeated, 3> 
<replied, 1> 
<repulsive, 1> 
<request, 1> 
<required, 2> 
<resembled, 1> 
<reserved, 1> 
<residence, 1> 
<resolution, 1> 
<resolve, 1> 
<resolving, 2> 
<resources, 1> 
<returned, 3> 
<rich, 2> 
<room, 1> 
<rooms, 1> 
<said, 1> 
<same, 1> 
<sang, 2> 
<satisfied, 1> 
<saved, 1> 
<saw, 6> 
<say, 2> 
<scale, 2> 
<securing, 2> 
<see, 4> 
<seeing, 1> 
<seems, 2> 
<seen, 1> 
<sell, 1> 
<sense, 2> 
<sensible, 1> 
<sent, 2> 
<sentiments, 3> 
<september, 3> 
<servants, 3> 
<service, 1> 
<set, 2> 
<settling, 1> 
<several, 1> 
<sex, 3> 
<shall, 1> 
<shameless, 3> 
<she, 21> 
<shew, 1> 
<shewing, 1> 
<short, 1> 
<shot, 1> 
<showing, 3> 
<shutters, 1> 
<shy, 5> 
<shyness, 2> 
<sigh, 3> 
<sight, 1> 
<simple, 1> 
<simplicity, 1> 
<since, 1> 
<sincerity, 4> 
<sir, 4> 
<sister, 3> 
<sitting, 2> 
<situation, 2> 
<six, 6> 
<size, 2> 
<small, 1> 
<smallest, 2> 
<smart, 1> 
<snug, 1> 
<so, 25> 
<sociable, 2> 
<sold, 1> 
<solicitude, 1> 
<some, 3> 
<something, 1> 
<son, 8> 
<song, 1> 
<sons, 1> 
<sooner, 1> 
<sorry, 1> 
<spite, 1> 
<sportsman, 1> 
<sportsmen, 3> 
<spot, 4> 
<spring, 1> 
<stairs, 1> 
<stanhill, 2> 
<state, 3> 
<staying, 1> 
<steepest, 1> 
<stimulated, 2> 
<stood, 1> 
<strictly, 2> 
<strongly, 1> 
<studied, 1> 
<style, 4> 
<subjects, 1> 
<sufficient, 4> 
<summer, 1> 
<supplied, 2> 
<supported, 1> 
<surprise, 3> 
<suspected, 1> 
<suspicion, 2> 
<sympathize, 1> 
<table, 1> 
<taken, 1> 
<talent, 3> 
<talked, 1> 
<talking, 1> 
<tears, 2> 
<tell, 1> 
<ten, 6> 
<terminated, 2> 
<than, 1> 
<that, 2> 
<the, 12> 
<their, 3> 
<themselves, 4> 
<there, 1> 
<these, 2> 
<they, 1> 
<things, 2> 
<think, 2> 
<thirty, 1> 
<this, 1> 
<thoroughly, 2> 
<through, 2> 
<throwing, 2> 
<thrown, 1> 
<tiled, 1> 
<till, 1> 
<time, 2> 
<to, 17> 
<together, 1> 
<told, 1> 
<tolerably, 5> 
<too, 1> 
<towards, 2> 
<travelling, 2> 
<tried, 1> 
<trifling, 1> 
<true, 1> 
<truth, 1> 
<turned, 1> 
<twenty, 1> 
<two, 2> 
<unaffected, 3> 
<under, 3> 
<uneasy, 1> 
<unknown, 2> 
<unpleasing, 1> 
<unreserved, 3> 
<unsatiable, 3> 
<up, 9> 
<upon, 2> 
<use, 3> 
<vanity, 1> 
<very, 2> 
<vexed, 2> 
<vicinity, 3> 
<view, 4> 
<viewing, 1> 
<views, 1> 
<village, 1> 
<visitor, 1> 
<voice, 1> 
<waited, 5> 
<waiting, 3> 
<walk, 3> 
<wandered, 2> 
<want, 3> 
<wanted, 1> 
<warmly, 1> 
<warrant, 1> 
<was, 6> 
<water, 2> 
<way, 5> 
<we, 9> 
<weather, 1> 
<weddings, 1> 
<week, 1> 
<weeks, 1> 
<welcomed, 1> 
<went, 2> 
<were, 1> 
<west, 2> 
<what, 4> 
<whatever, 1> 
<when, 5> 
<whence, 1> 
<while, 2> 
<who, 5> 
<whole, 4> 
<wholly, 2> 
<whose, 2> 
<why, 5> 
<wife, 1> 
<winding, 2> 
<window, 2> 
<wisdom, 2> 
<wise, 2> 
<wish, 1> 
<wished, 1> 
<wishes, 1> 
<with, 3> 
<without, 1> 
<wonder, 1> 
<wooded, 1> 
<world, 1> 
<worse, 2> 
<worth, 2> 
<worthy, 1> 
<would, 1> 
<wound, 2> 
<wrong, 1> 
<wrote, 3> 
<ye, 6> 
<yet, 8> 
<you, 7> 
<young, 1> 
<your, 1> 
<yourself, 1> 
<zealously, 3> 
